City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
133,Castro,BR,-24.7911,-50.0119,59.31,98,100,7.72,overcast clouds
134,Dzilam Gonzalez,MX,21.2833,-88.9333,77.2,80,77,7.65,broken clouds
135,Eureka,US,40.8021,-124.1637,44.92,88,38,10.6,scattered clouds
136,Leningradskiy,RU,69.3833,178.4167,6.96,85,100,5.59,overcast clouds
137,Kristiansund,NO,63.1115,7.732,47.05,39,75,3.44,broken clouds
138,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,84,7.74,broken clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,71.51,71,0,6.91,clear sky
140,Avera,US,33.194,-82.5271,48.9,67,0,5.01,clear sky
141,Souillac,MU,-20.5167,57.5167,75.65,73,41,0.49,scattered clouds
142,Port Alfred,ZA,-33.5906,26.891,63.18,87,3,1.99,clear sky
143,Dunedin,NZ,-45.8742,170.5036,58.8,82,100,6.35,light rain
144,Imbituba,BR,-28.24,-48.6703,71.85,91,100,8.19,overcast clouds
145,Borovikha,RU,53.5072,83.8379,-15.36,90,72,2.53,broken clouds
146,Tezu,IN,27.9167,96.1667,74.98,30,0,0.89,clear sky
147,Kahului,US,20.8947,-156.47,75.85,94,100,4.61,light rain
148,Calbuco,CL,-41.768,-73.1273,54.61,93,2,6.89,clear sky
149,Torbay,CA,47.6666,-52.7314,45.75,96,100,5.01,overcast clouds
150,Beloha,MG,-25.1667,45.05,72.36,80,85,2.26,overcast clouds
151,Jerantut,MY,3.936,102.3626,85.35,68,68,2.21,broken clouds
152,Malakal,SS,9.5334,31.6605,75.22,46,56,0.81,broken clouds
153,Viedma,AR,-40.8135,-62.9967,71.44,72,4,14.92,clear sky
154,General Roca,AR,-39.0333,-67.5833,80.62,26,21,20.22,few clouds
155,Zhuanghe,CN,39.7008,122.9911,25.47,29,100,17.47,overcast clouds
156,Praia,CV,14.9215,-23.5087,72.14,83,20,10.36,few clouds
157,Makat,KZ,47.6469,53.3463,26.98,31,93,12.01,overcast clouds
158,Svetlogorsk,BY,52.6333,29.7333,32.13,98,100,8.9,light snow
159,Onega,RU,63.9061,38.1404,24.01,89,100,5.35,overcast clouds
160,Hofn,IS,64.2539,-15.2082,35.69,73,15,7.45,few clouds
161,Sydney,AU,-33.8679,151.2073,80.55,43,0,19.57,clear sky
162,Roald,NO,62.5833,6.1333,49.33,57,100,6.91,overcast clouds
163,Derzhavinsk,KZ,51.1,66.3167,7.07,76,100,14.05,overcast clouds
164,Bengkulu,ID,-3.8004,102.2655,82.06,69,100,2.13,overcast clouds
165,Mgandu,TZ,-5.95,34.1333,61.59,83,88,3.69,overcast clouds
166,Durres,AL,41.3231,19.4414,33.98,54,100,4.99,overcast clouds
167,Katobu,ID,-4.9408,122.5276,87.73,61,77,4.99,broken clouds
168,Coihaique,CL,-45.5752,-72.0662,57.15,72,75,10.36,broken clouds
169,Geraldton,AU,-28.7667,114.6,102.61,14,0,17.27,clear sky
170,Tulum,MX,20.2167,-87.4667,77.32,87,95,6.29,overcast clouds
171,Riyadh,SA,24.6877,46.7219,60.94,41,99,6.4,overcast clouds
172,Bereda,ES,43.2686,-7.5406,48.42,100,99,1.5,overcast clouds
173,Gautier,US,30.3858,-88.6117,61.45,100,100,0.0,fog
174,Asuncion,PY,-25.3007,-57.6359,78.24,65,0,5.75,clear sky
175,Pacific Grove,US,36.6177,-121.9166,52.66,78,40,17.0,scattered clouds
176,Santa Eulalia,PE,-11.85,-76.6833,50.67,85,100,1.83,overcast clouds
177,Tasiilaq,GL,65.6145,-37.6368,33.96,79,100,11.92,light snow
178,Pak Phanang,TH,8.3511,100.202,89.04,72,88,7.47,overcast clouds
179,Jacksonville,US,30.3322,-81.6556,64.4,82,75,0.0,broken clouds
180,Provideniya,RU,64.3833,-173.3,24.91,68,75,15.66,broken clouds
181,Hasaki,JP,35.7333,140.8333,72.28,69,100,27.67,overcast clouds
182,Usinsk,RU,65.9939,57.5281,3.04,98,94,8.68,overcast clouds
183,Lardos,GR,36.0942,28.0157,57.94,89,73,14.34,broken clouds
184,Kushmurun,KZ,52.4503,64.6311,9.63,82,100,7.58,overcast clouds
185,Opuwo,NA,-18.0607,13.84,62.26,60,79,2.28,broken clouds
186,Qaqortoq,GL,60.7167,-46.0333,32.04,99,100,0.72,snow
187,Baruun-Urt,MN,46.6806,113.2792,-11.85,64,40,17.07,scattered clouds
188,Jyvaskyla,FI,62.2415,25.7209,26.94,89,100,6.91,overcast clouds
189,Lazaro Cardenas,MX,17.9583,-102.2,76.91,80,10,4.16,clear sky
190,Padang,ID,-0.9492,100.3543,77.05,75,100,3.0,overcast clouds
191,San Cristobal,VE,7.7669,-72.225,62.78,98,99,3.38,overcast clouds
192,Nikolskoye,RU,59.7035,30.7861,26.49,97,100,4.03,overcast clouds
193,Vao,NC,-22.6667,167.4833,78.73,86,100,15.19,overcast clouds
194,Tarko-Sale,RU,64.9225,77.785,-0.94,93,100,7.52,overcast clouds
195,Haines Junction,CA,60.7522,-137.5108,-11.72,97,18,3.36,few clouds
196,Te Anau,NZ,-45.4167,167.7167,53.46,94,100,4.83,moderate rain
197,Kailua,US,21.4022,-157.7394,76.41,86,100,1.99,overcast clouds
198,Kabinda,CD,-6.1333,24.4833,65.59,97,100,2.64,light rain
199,Asau,RO,46.4333,26.4,29.32,90,100,2.3,overcast clouds
200,Batagay,RU,67.6333,134.6333,-46.34,100,96,1.43,overcast clouds
201,Husavik,IS,66.0449,-17.3389,28.94,65,0,13.96,clear sky
202,Kerema,PG,-7.9631,145.7785,83.3,75,100,9.48,overcast clouds
203,Kawalu,ID,-7.3817,108.2082,83.23,64,41,4.72,scattered clouds
204,Teberda,RU,43.4456,41.7448,38.12,42,98,3.49,overcast clouds
205,Gurupi,BR,-11.7292,-49.0686,71.49,93,100,4.94,overcast clouds
206,Shahr-E Babak,IR,30.1165,55.1186,46.45,40,97,3.15,overcast clouds
207,Domna,RU,51.8971,113.1573,-4.97,48,20,8.95,few clouds
208,Sao Filipe,CV,14.8961,-24.4956,74.97,63,24,12.03,few clouds
209,Bud,US,39.447,-86.1758,44.91,90,100,6.55,overcast clouds
210,Mataram,ID,-8.5833,116.1167,83.21,81,100,7.31,overcast clouds
211,Georgetown,MY,5.4112,100.3354,85.95,79,20,8.05,few clouds
212,Alugan,PH,12.2188,125.4808,84.88,71,19,11.77,few clouds
213,The Valley,AI,18.217,-63.0578,80.1,71,97,18.41,overcast clouds
214,Noumea,NC,-22.2763,166.4572,84.18,72,100,6.02,overcast clouds
215,Mundwa,IN,27.0667,73.8167,64.4,25,24,5.61,few clouds
216,Rabo De Peixe,PT,37.8,-25.5833,67.28,99,75,18.41,broken clouds
217,Kamennomostskiy,RU,44.2983,40.1856,41.49,81,62,2.89,broken clouds
218,Kitimat,CA,54.0524,-128.6534,23.92,68,31,4.09,scattered clouds
219,Zheleznodorozhnyy,RU,55.7503,38.0042,23.52,96,100,4.85,overcast clouds
220,Pau,FR,43.4167,-0.5833,48.85,100,75,2.3,mist
221,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,16.11,few clouds
222,Fukue,JP,32.6881,128.8419,69.28,90,92,14.18,overcast clouds
223,Ler,SS,8.3018,30.1418,74.77,61,19,3.53,few clouds
224,Kaitangata,NZ,-46.2817,169.8464,56.82,79,100,8.14,light rain
225,Nabire,ID,-3.3667,135.4833,87.08,60,77,4.36,broken clouds
226,Narsaq,GL,60.9167,-46.05,35.82,99,100,1.3,moderate rain
227,Bilma,NE,18.6853,12.9164,59.97,37,99,8.7,overcast clouds
