City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
118,Mount Isa,AU,89.37,-20.7333,139.5,overcast clouds,ibis Styles Mt Isa Verona
119,Kaili,ID,75.34,-3.4626,120.2147,overcast clouds,
120,Alice Springs,AU,80.15,-23.7,133.8833,clear sky,Desert Palms Alice Springs
124,Mahebourg,MU,77.25,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
127,Ishigaki,JP,78.64,24.3448,124.1572,clear sky,Hotel Peace Land Ishigakijima
128,Kisangani,CD,65.66,0.5167,25.2,broken clouds,Grand Ramela Hotel
129,Goundam,ML,71.2,16.4145,-3.6708,broken clouds,
134,Dzilam Gonzalez,MX,77.2,21.2833,-88.9333,broken clouds,posadas
138,Saint-Philippe,RE,76.59,-21.3585,55.7679,broken clouds,Le four à pain
139,Cabo San Lucas,MX,71.51,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
141,Souillac,MU,75.65,-20.5167,57.5167,scattered clouds,Shanti Maurice Resort & Spa
144,Imbituba,BR,71.85,-28.24,-48.6703,overcast clouds,Praia Hotel Imbituba
146,Tezu,IN,74.98,27.9167,96.1667,clear sky,Circuit House
147,Kahului,US,75.85,20.8947,-156.47,light rain,Maui Seaside Hotel
150,Beloha,MG,72.36,-25.1667,45.05,overcast clouds,
151,Jerantut,MY,85.35,3.936,102.3626,broken clouds,Jerantut Hill Resort
152,Malakal,SS,75.22,9.5334,31.6605,broken clouds,Nile Palace Hotel
153,Viedma,AR,71.44,-40.8135,-62.9967,clear sky,Hotel Cristal
154,General Roca,AR,80.62,-39.0333,-67.5833,few clouds,Hotel El Recreo
156,Praia,CV,72.14,14.9215,-23.5087,few clouds,LT Aparthotel
161,Sydney,AU,80.55,-33.8679,151.2073,clear sky,The Grace Sydney
164,Bengkulu,ID,82.06,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
167,Katobu,ID,87.73,-4.9408,122.5276,broken clouds,La Ode Husein
170,Tulum,MX,77.32,20.2167,-87.4667,overcast clouds,Kin Ha Tulum
174,Asuncion,PY,78.24,-25.3007,-57.6359,clear sky,"Crowne Plaza Asuncion, an IHG Hotel"
178,Pak Phanang,TH,89.04,8.3511,100.202,overcast clouds,Green Park Inn Hotel
181,Hasaki,JP,72.28,35.7333,140.8333,overcast clouds,Inubosaki Kanko Hotel
189,Lazaro Cardenas,MX,76.91,17.9583,-102.2,clear sky,HOTEL QUINTA ANTIGUA
190,Padang,ID,77.05,-0.9492,100.3543,overcast clouds,Mercure Padang
193,Vao,NC,78.73,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
197,Kailua,US,76.41,21.4022,-157.7394,overcast clouds,Sheffield House Bed & Breakfast
198,Kabinda,CD,65.59,-6.1333,24.4833,light rain,Village Mianda Mutole
202,Kerema,PG,83.3,-7.9631,145.7785,overcast clouds,Frena Lodge
203,Kawalu,ID,83.23,-7.3817,108.2082,scattered clouds,West Jontor
205,Gurupi,BR,71.49,-11.7292,-49.0686,overcast clouds,Via Norte Hotel
208,Sao Filipe,CV,74.97,14.8961,-24.4956,few clouds,Hotel Xaguate
210,Mataram,ID,83.21,-8.5833,116.1167,overcast clouds,Hotel Santika Mataram
211,Georgetown,MY,85.95,5.4112,100.3354,few clouds,Cititel Penang
212,Alugan,PH,84.88,12.2188,125.4808,few clouds,JM Lodge
